Ticker,close,date,high,low,month,open,volume,Daily Return
ADANIENT,2387.25,10/3/2023 5:30,2424.9,2372,2023-10,2418,2019899,-0.012717122
ADANIENT,2464.95,10/4/2023 5:30,2502.75,2392.25,2023-10,2402.2,2857377,0.026121888
ADANIENT,2466.35,10/5/2023 5:30,2486.5,2446.4,2023-10,2477.95,1132455,-0.004681289
ADANIENT,2478.1,10/6/2023 5:30,2514.95,2466.05,2023-10,2466.35,1510035,0.004764125
ADANIENT,2442.6,10/9/2023 5:30,2459.7,2411.3,2023-10,2440,1408224,0.001065574
ADANIENT,2498.3,10/10/2023 5:30,2517.95,2443,2023-10,2443,1771910,0.022636103
ADANIENT,2488.6,10/11/2023 5:30,2538,2482.5,2023-10,2533.9,1627836,-0.01787758
ADANIENT,2506.35,10/12/2023 5:30,2521.75,2490.65,2023-10,2499.9,1804818,0.002580103
ADANIENT,2454.55,10/13/2023 5:30,2495,2422.35,2023-10,2488.9,2278682,-0.013801278
ADANIENT,2429.35,10/16/2023 5:30,2464.7,2421.85,2023-10,2454.55,803856,-0.010266648
ADANIENT,2428.4,10/17/2023 5:30,2462,2423.5,2023-10,2459.95,707543,-0.012825464
ADANIENT,2406.35,10/18/2023 5:30,2441.75,2401.05,2023-10,2440,776977,-0.013790984
ADANIENT,2402.2,10/19/2023 5:30,2414.7,2382.55,2023-10,2400,1168822,0.000916667
ADANIENT,2393.75,10/20/2023 5:30,2443.95,2382.05,2023-10,2398.05,1240350,-0.001793124
ADANIENT,2308.65,10/23/2023 5:30,2412.35,2301.8,2023-10,2397.8,1483549,-0.037179915
ADANIENT,2257,10/25/2023 5:30,2348.05,2235.3,2023-10,2320,1540819,-0.027155172
ADANIENT,2203.2,10/26/2023 5:30,2249,2167.05,2023-10,2249,2226073,-0.020364606
ADANIENT,2261.7,10/27/2023 5:30,2275,2212,2023-10,2222,1244293,0.017866787
ADANIENT,2299.1,10/30/2023 5:30,2305,2250,2023-10,2260.05,996448,0.017278379
ADANIENT,2294.65,10/31/2023 5:30,2320,2276,2023-10,2320,1155280,-0.010926724
ADANIENT,2217.3,11/1/2023 5:30,2312.25,2207,2023-11,2299,1666579,-0.03553719
ADANIENT,2215.3,11/2/2023 5:30,2297.95,2204.2,2023-11,2247,2340997,-0.014107699
ADANIENT,2229.85,11/3/2023 5:30,2279,2215,2023-11,2215.3,1853300,0.006567959
ADANIENT,2246,11/6/2023 5:30,2260,2233,2023-11,2253.95,770061,-0.003527141
ADANIENT,2233.35,11/7/2023 5:30,2260,2226.65,2023-11,2257,641554,-0.010478511
ADANIENT,2259.95,11/8/2023 5:30,2298,2235,2023-11,2245.3,1169180,0.006524741
